id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name
1903,2020-03-21 00:08:29.993643+00,f98c2dd4-dba4-4747-af3c-78127794a4fa,0242ac12-0005-952d-a662-000000000011,runner_on_skipped,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1904,2020-03-21 00:08:30.028257+00,0242ac12-0005-952d-a662-000000000012,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""service""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,69,,""
1905,2020-03-21 00:08:30.068774+00,7beea5bc-dc1f-41a8-8695-1ec536a817ae,0242ac12-0005-952d-a662-000000000012,runner_on_start,"""service""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,69,1,host0320b
1906,2020-03-21 00:08:31.57746+00,a17dbd39-98fd-446e-b432-d6a7623c30c3,0242ac12-0005-952d-a662-000000000012,runner_on_ok,"""service""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,69,1,host0320b
1907,2020-03-21 00:08:32.112841+00,7950e6e8-dae2-428e-a7f2-c743f9b2778f,0242ac12-0005-952d-a662-000000000012,runner_on_ok,"""service""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,69,2,host0320a
1908,2020-03-21 00:08:32.139821+00,0242ac12-0005-952d-a662-000000000013,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,,""
1909,2020-03-21 00:08:32.182749+00,81f7d067-27e9-4ed8-87e4-d91ce5db7485,0242ac12-0005-952d-a662-000000000013,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
1910,2020-03-21 00:08:32.194016+00,0e23cb56-5579-4d2e-92ed-e6ff68712f95,0242ac12-0005-952d-a662-000000000013,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1911,2020-03-21 00:08:32.146912+00,0cc5dea6-7798-4814-b933-eb58267ee400,0242ac12-0005-952d-a662-000000000013,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1912,2020-03-21 00:08:32.210095+00,a0a9f131-234f-454f-b579-056a563a3454,0242ac12-0005-952d-a662-000000000013,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
